Running as user "root" and group "root". This could be dangerous.
frame.time_relative,ip.src,ip.dst,frame.len,tcp.seq,tcp.ack,udp.length
0.000000000,172.20.0.3,172.20.0.2,105,,,71
0.000064000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
2.000999000,172.20.0.3,172.20.0.2,105,,,71
2.001020000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
4.002000000,172.20.0.3,172.20.0.2,105,,,71
4.002021000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
5.442014000,,,42,,,
5.452998000,,,42,,,
5.452998000,,,42,,,
5.453002000,,,42,,,
6.003016000,172.20.0.3,172.20.0.2,105,,,71
6.003037000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
8.004005000,172.20.0.3,172.20.0.2,105,,,71
8.004032000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
10.005000000,172.20.0.3,172.20.0.2,105,,,71
10.005021000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
12.005999000,172.20.0.3,172.20.0.2,105,,,71
12.006021000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
14.007004000,172.20.0.3,172.20.0.2,105,,,71
14.007025000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
16.008002000,172.20.0.3,172.20.0.2,105,,,71
16.008023000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
18.008999000,172.20.0.3,172.20.0.2,105,,,71
18.009019000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
