Running as user "root" and group "root". This could be dangerous.
frame.time_relative,ip.src,ip.dst,frame.len,tcp.seq,tcp.ack,udp.length
0.000000000,172.20.0.3,172.20.0.2,105,,,71
0.001817000,172.20.0.2,172.20.0.3,92,,,58
0.052952000,172.20.0.3,172.20.0.2,1514,,,
0.052953000,172.20.0.3,172.20.0.2,1514,,,
0.052954000,172.20.0.3,172.20.0.2,1228,,,4154
0.052954000,172.20.0.3,172.20.0.2,1514,,,
0.052954000,172.20.0.3,172.20.0.2,1514,,,
0.052954000,172.20.0.3,172.20.0.2,1228,,,4154
0.052954000,172.20.0.3,172.20.0.2,1514,,,
0.052955000,172.20.0.3,172.20.0.2,1514,,,
0.052955000,172.20.0.3,172.20.0.2,1228,,,4154
0.052956000,172.20.0.3,172.20.0.2,1514,,,
0.052956000,172.20.0.3,172.20.0.2,1514,,,
0.052957000,172.20.0.3,172.20.0.2,1228,,,4154
0.052957000,172.20.0.3,172.20.0.2,1514,,,
0.052957000,172.20.0.3,172.20.0.2,1514,,,
0.052957000,172.20.0.3,172.20.0.2,1514,,,
0.052957000,172.20.0.3,172.20.0.2,1514,,,
0.052958000,172.20.0.3,172.20.0.2,1228,,,4154
0.052958000,172.20.0.3,172.20.0.2,1514,,,
0.052959000,172.20.0.3,172.20.0.2,1514,,,
0.052959000,172.20.0.3,172.20.0.2,1228,,,4154
0.052959000,172.20.0.3,172.20.0.2,1514,,,
0.052960000,172.20.0.3,172.20.0.2,1514,,,
0.052960000,172.20.0.3,172.20.0.2,1228,,,4154
0.053101000,172.20.0.2,172.20.0.3,92,,,58
0.053163000,172.20.0.2,172.20.0.3,92,,,58
0.053203000,172.20.0.2,172.20.0.3,92,,,58
0.053229000,172.20.0.2,172.20.0.3,92,,,58
0.053255000,172.20.0.2,172.20.0.3,92,,,58
0.053271000,172.20.0.2,172.20.0.3,92,,,58
0.053294000,172.20.0.2,172.20.0.3,92,,,58
0.105952000,172.20.0.3,172.20.0.2,1514,,,
0.105952000,172.20.0.3,172.20.0.2,1514,,,
0.105952000,172.20.0.3,172.20.0.2,1228,,,4154
0.105953000,172.20.0.3,172.20.0.2,1514,,,
0.105953000,172.20.0.3,172.20.0.2,1514,,,
0.105953000,172.20.0.3,172.20.0.2,1228,,,4154
0.105953000,172.20.0.3,172.20.0.2,1514,,,
0.105953000,172.20.0.3,172.20.0.2,1514,,,
0.105953000,172.20.0.3,172.20.0.2,1228,,,4154
0.105954000,172.20.0.3,172.20.0.2,1514,,,
0.105954000,172.20.0.3,172.20.0.2,1514,,,
0.106024000,172.20.0.2,172.20.0.3,92,,,58
0.106048000,172.20.0.2,172.20.0.3,92,,,58
0.106073000,172.20.0.2,172.20.0.3,92,,,58
2.062751000,172.20.0.3,172.20.0.2,1514,,,
2.117748000,172.20.0.3,172.20.0.2,1514,,,
2.117749000,172.20.0.3,172.20.0.2,1514,,,
2.117749000,172.20.0.3,172.20.0.2,1228,,,4154
2.117970000,172.20.0.2,172.20.0.3,92,,,58
4.064773000,172.20.0.3,172.20.0.2,1514,,,
4.064774000,172.20.0.3,172.20.0.2,1228,,,
5.283782000,,,42,,,
5.334749000,,,42,,,
5.334750000,,,42,,,
5.334757000,,,42,,,
6.065750000,172.20.0.3,172.20.0.2,1514,,,
6.065751000,172.20.0.3,172.20.0.2,1514,,,
6.065751000,172.20.0.3,172.20.0.2,1228,,,4154
6.065907000,172.20.0.2,172.20.0.3,92,,,58
6.120752000,172.20.0.3,172.20.0.2,1514,,,
6.120752000,172.20.0.3,172.20.0.2,1228,,,
6.120753000,172.20.0.3,172.20.0.2,1514,,,
6.120753000,172.20.0.3,172.20.0.2,1514,,,
6.120753000,172.20.0.3,172.20.0.2,1228,,,4154
6.120753000,172.20.0.3,172.20.0.2,1514,,,
6.120753000,172.20.0.3,172.20.0.2,1514,,,
6.120753000,172.20.0.3,172.20.0.2,1228,,,4154
6.120753000,172.20.0.3,172.20.0.2,1514,,,
6.120754000,172.20.0.3,172.20.0.2,1514,,,
6.120754000,172.20.0.3,172.20.0.2,1228,,,4154
6.120754000,172.20.0.3,172.20.0.2,1514,,,
6.120754000,172.20.0.3,172.20.0.2,1514,,,
6.120754000,172.20.0.3,172.20.0.2,1228,,,4154
6.120754000,172.20.0.3,172.20.0.2,1514,,,
6.120754000,172.20.0.3,172.20.0.2,1514,,,
6.120755000,172.20.0.3,172.20.0.2,1228,,,4154
6.120755000,172.20.0.3,172.20.0.2,1514,,,
6.120755000,172.20.0.3,172.20.0.2,1514,,,
6.120755000,172.20.0.3,172.20.0.2,1514,,,
6.120755000,172.20.0.3,172.20.0.2,1228,,,
6.120809000,172.20.0.2,172.20.0.3,92,,,58
6.120837000,172.20.0.2,172.20.0.3,92,,,58
6.120853000,172.20.0.2,172.20.0.3,92,,,58
6.120875000,172.20.0.2,172.20.0.3,92,,,58
6.120896000,172.20.0.2,172.20.0.3,92,,,58
8.127753000,172.20.0.3,172.20.0.2,1514,,,
8.127755000,172.20.0.3,172.20.0.2,1514,,,
8.127755000,172.20.0.3,172.20.0.2,1228,,,4154
8.127755000,172.20.0.3,172.20.0.2,1514,,,
8.127756000,172.20.0.3,172.20.0.2,1514,,,
8.127756000,172.20.0.3,172.20.0.2,1228,,,4154
8.127756000,172.20.0.3,172.20.0.2,1514,,,
8.127756000,172.20.0.3,172.20.0.2,1514,,,
8.127756000,172.20.0.3,172.20.0.2,1228,,,4154
8.127921000,172.20.0.2,172.20.0.3,92,,,58
8.127952000,172.20.0.2,172.20.0.3,92,,,58
8.127973000,172.20.0.2,172.20.0.3,92,,,58
8.182750000,172.20.0.3,172.20.0.2,1514,,,
8.182750000,172.20.0.3,172.20.0.2,1514,,,
8.182750000,172.20.0.3,172.20.0.2,1514,,,
8.182750000,172.20.0.3,172.20.0.2,1514,,,
8.182751000,172.20.0.3,172.20.0.2,1228,,,4154
8.182751000,172.20.0.3,172.20.0.2,1514,,,
8.182751000,172.20.0.3,172.20.0.2,1514,,,
8.182751000,172.20.0.3,172.20.0.2,1228,,,4154
8.182751000,172.20.0.3,172.20.0.2,1514,,,
8.182752000,172.20.0.3,172.20.0.2,1514,,,
8.182752000,172.20.0.3,172.20.0.2,1228,,,4154
8.182752000,172.20.0.3,172.20.0.2,1514,,,
8.182753000,172.20.0.3,172.20.0.2,1514,,,
8.182753000,172.20.0.3,172.20.0.2,1228,,,4154
8.182753000,172.20.0.3,172.20.0.2,1514,,,
8.182753000,172.20.0.3,172.20.0.2,1514,,,
8.182753000,172.20.0.3,172.20.0.2,1228,,,4154
8.182753000,172.20.0.3,172.20.0.2,1514,,,
8.182754000,172.20.0.3,172.20.0.2,1514,,,
8.182754000,172.20.0.3,172.20.0.2,1228,,,4154
8.182754000,172.20.0.3,172.20.0.2,1514,,,
8.182754000,172.20.0.3,172.20.0.2,1514,,,
8.182755000,172.20.0.3,172.20.0.2,1228,,,4154
8.182813000,172.20.0.2,172.20.0.3,92,,,58
8.182831000,172.20.0.2,172.20.0.3,92,,,58
8.182845000,172.20.0.2,172.20.0.3,92,,,58
8.182859000,172.20.0.2,172.20.0.3,92,,,58
8.182872000,172.20.0.2,172.20.0.3,92,,,58
8.182885000,172.20.0.2,172.20.0.3,92,,,58
8.182898000,172.20.0.2,172.20.0.3,92,,,58
10.192937000,172.20.0.3,172.20.0.2,1514,,,
10.192939000,172.20.0.3,172.20.0.2,1514,,,
10.192939000,172.20.0.3,172.20.0.2,1228,,,4154
10.193076000,172.20.0.2,172.20.0.3,92,,,58
10.247748000,172.20.0.3,172.20.0.2,1514,,,
10.247749000,172.20.0.3,172.20.0.2,1514,,,
10.247749000,172.20.0.3,172.20.0.2,1228,,,4154
10.247749000,172.20.0.3,172.20.0.2,1514,,,
10.247749000,172.20.0.3,172.20.0.2,1514,,,
10.247750000,172.20.0.3,172.20.0.2,1228,,,4154
10.247750000,172.20.0.3,172.20.0.2,1514,,,
10.247750000,172.20.0.3,172.20.0.2,1514,,,
10.247750000,172.20.0.3,172.20.0.2,1228,,,4154
10.247750000,172.20.0.3,172.20.0.2,1514,,,
10.247751000,172.20.0.3,172.20.0.2,1514,,,
10.247751000,172.20.0.3,172.20.0.2,1228,,,4154
10.247751000,172.20.0.3,172.20.0.2,1514,,,
10.247751000,172.20.0.3,172.20.0.2,1514,,,
10.247751000,172.20.0.3,172.20.0.2,1228,,,4154
10.247751000,172.20.0.3,172.20.0.2,1514,,,
10.247751000,172.20.0.3,172.20.0.2,1514,,,
10.247751000,172.20.0.3,172.20.0.2,1228,,,4154
10.247752000,172.20.0.3,172.20.0.2,1514,,,
10.247752000,172.20.0.3,172.20.0.2,1514,,,
10.247752000,172.20.0.3,172.20.0.2,1228,,,4154
10.247752000,172.20.0.3,172.20.0.2,1514,,,
10.247752000,172.20.0.3,172.20.0.2,1514,,,
10.247753000,172.20.0.3,172.20.0.2,1228,,,4154
10.247807000,172.20.0.2,172.20.0.3,92,,,58
10.247836000,172.20.0.2,172.20.0.3,92,,,58
10.247864000,172.20.0.2,172.20.0.3,92,,,58
10.247881000,172.20.0.2,172.20.0.3,92,,,58
10.247898000,172.20.0.2,172.20.0.3,92,,,58
10.247914000,172.20.0.2,172.20.0.3,92,,,58
10.247936000,172.20.0.2,172.20.0.3,92,,,58
10.247952000,172.20.0.2,172.20.0.3,92,,,58
10.302749000,172.20.0.3,172.20.0.2,1514,,,
10.302749000,172.20.0.3,172.20.0.2,1228,,,
10.302749000,172.20.0.3,172.20.0.2,1514,,,
10.302749000,172.20.0.3,172.20.0.2,1514,,,
10.302749000,172.20.0.3,172.20.0.2,1228,,,4154
10.302750000,172.20.0.3,172.20.0.2,1514,,,
10.302750000,172.20.0.3,172.20.0.2,1514,,,
10.302750000,172.20.0.3,172.20.0.2,1228,,,4154
10.302750000,172.20.0.3,172.20.0.2,1514,,,
10.302751000,172.20.0.3,172.20.0.2,1514,,,
10.302751000,172.20.0.3,172.20.0.2,1228,,,4154
10.302751000,172.20.0.3,172.20.0.2,1514,,,
10.302751000,172.20.0.3,172.20.0.2,1228,,,
10.302751000,172.20.0.3,172.20.0.2,1514,,,
10.302751000,172.20.0.3,172.20.0.2,1514,,,
10.302751000,172.20.0.3,172.20.0.2,1228,,,4154
10.302751000,172.20.0.3,172.20.0.2,1514,,,
10.302752000,172.20.0.3,172.20.0.2,1514,,,
10.302752000,172.20.0.3,172.20.0.2,1228,,,4154
10.302752000,172.20.0.3,172.20.0.2,1514,,,
10.302752000,172.20.0.3,172.20.0.2,1514,,,
10.302752000,172.20.0.3,172.20.0.2,1228,,,4154
10.302791000,172.20.0.2,172.20.0.3,92,,,58
