Running as user "root" and group "root". This could be dangerous.
frame.time_relative,ip.src,ip.dst,frame.len,tcp.seq,tcp.ack,udp.length
0.000000000,172.20.0.3,172.20.0.2,105,,,71
0.000052000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
5.224019000,,,42,,,
5.324997000,,,42,,,
6.002995000,172.20.0.3,172.20.0.2,105,,,71
6.003024000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
8.003994000,172.20.0.3,172.20.0.2,105,,,71
8.004017000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
12.006999000,172.20.0.3,172.20.0.2,105,,,71
12.007082000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
15.053372000,,,42,,,
15.053391000,,,42,,,
16.009376000,172.20.0.3,172.20.0.2,105,,,71
16.009407000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
18.010376000,172.20.0.3,172.20.0.2,105,,,71
18.010431000,172.20.0.2,172.20.0.3,172.20.0.3,172.20.0.2,133,,,71
